model:model/t1c0.1-t2c0.01-lr0.15-decay0.95-gau3-ep10-gr10.pkl
input_data:sample_data/input.dat
output_dir:output/out1.txt
dataset length: 3000
features per example: 136
(誤差平均, 誤差分散), ニューロン使用率, 階層数, マップ数, ニューロン数
(113.1063, 43.39544),1.1905,4,18,150
header layer 0 1 2 3 (y,x)
[1590001-1595000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[1595001-1600000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1600001-1605000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1605001-1610000] 2 root root(0,3) None None (1,0)
[1610001-1615000] 2 root root(0,3) None None (1,1)
[1615001-1620000] 2 root root(0,3) None None (1,0)
[1620001-1625000] 2 root root(0,3) None None (2,1)
[1625001-1630000] 2 root root(0,3) None None (0,0)
[1630001-1635000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,0)
[1635001-1640000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1640001-1645000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1645001-1650000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1650001-1655000] 2 root root(0,3) None None (1,0)
[1655001-1660000] 2 root root(0,3) None None (0,0)
[1660001-1665000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
